,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
260,46.0,1.0,2,0,0,0,1,0,9,1,8,0,0,0,1,3,0,0,6,0
261,30.0,3.0,2,0,0,0,1,0,9,2,4,1,0,0,0,0,1,0,6,0
262,55.0,2.0,0,1,1,0,1,0,9,0,2,1,12,1,1,2,3,0,6,0
263,30.0,2.0,2,0,2,0,1,0,9,0,0,1,0,0,1,2,1,0,6,0
264,34.0,3.0,3,1,0,0,1,0,9,0,11,1,0,0,1,2,0,0,6,0
265,39.0,39.0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,3,0,6,0
266,41.0,39.0,0,0,0,0,1,0,2,0,6,1,0,0,1,1,3,0,6,0
267,39.0,2.0,0,1,0,0,1,0,1,0,5,1,2,1,1,1,0,1,6,0
268,35.0,1.0,2,1,1,0,1,0,8,0,3,1,2,1,1,0,0,0,6,0
269,34.0,3.0,3,0,2,0,1,0,1,1,6,0,2,0,1,1,0,0,6,0
270,55.0,2.0,0,1,1,0,1,0,0,0,3,1,0,1,1,0,0,0,6,0
271,47.0,1.0,2,0,1,0,1,0,9,0,9,1,7,1,1,0,3,0,6,0
272,45.0,3.0,0,1,2,0,1,0,8,0,9,1,2,1,1,1,1,0,6,0
273,31.0,2.0,3,0,0,0,1,0,1,0,2,0,2,0,1,1,1,0,6,0
